Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-35.000	0.13723	572.58	0.0017465	5.1259	5.1365	29.788	64.575	100.53	1114.4	-0.38804	181.50	0.12506	0.014720	3.2042	0.31209	21.678	23.567	107.18	55.118	65.360	219.81	34.770	6.4698	0.012208
-34.000	0.14297	571.40	0.0017501	5.2263	5.2374	30.209	64.692	100.75	1107.8	-0.38435	179.53	0.12449	0.014586	3.3292	0.30037	21.726	23.619	107.07	55.325	65.629	219.98	34.398	6.4961	0.012300
-33.000	0.14890	570.22	0.0017537	5.3270	5.3385	30.629	64.810	100.98	1101.3	-0.38062	177.59	0.12392	0.014453	3.4578	0.28920	21.773	23.672	106.97	55.532	65.901	220.15	34.033	6.5224	0.012392
-32.000	0.15502	569.03	0.0017574	5.4278	5.4398	31.048	64.929	101.20	1094.8	-0.37682	175.68	0.12335	0.014320	3.5903	0.27853	21.820	23.724	106.87	55.741	66.175	220.31	33.676	6.5488	0.012484
-31.000	0.16133	567.84	0.0017611	5.5288	5.5413	31.466	65.049	101.43	1088.3	-0.37297	173.79	0.12278	0.014186	3.7266	0.26834	21.867	23.776	106.77	55.950	66.452	220.46	33.324	6.5751	0.012577
-30.000	0.16783	566.64	0.0017648	5.6301	5.6431	31.884	65.170	101.66	1081.7	-0.36906	171.93	0.12221	0.014053	3.8669	0.25861	21.915	23.829	106.67	56.161	66.732	220.60	32.980	6.6015	0.012670
-29.000	0.17454	565.44	0.0017685	5.7315	5.7452	32.300	65.293	101.89	1075.2	-0.36510	170.10	0.12164	0.013920	4.0112	0.24930	21.962	23.881	106.58	56.372	67.014	220.74	32.642	6.6279	0.012764
-28.000	0.18144	564.23	0.0017723	5.8332	5.8474	32.716	65.416	102.12	1068.7	-0.36107	168.29	0.12108	0.013787	4.1596	0.24041	22.009	23.933	106.49	56.584	67.299	220.87	32.311	6.6543	0.012859
-27.000	0.18856	563.03	0.0017761	5.9352	5.9499	33.131	65.540	102.36	1062.2	-0.35698	166.50	0.12052	0.013655	4.3122	0.23190	22.057	23.985	106.40	56.798	67.587	220.99	31.986	6.6807	0.012953
-26.000	0.19589	561.81	0.0017799	6.0373	6.0527	33.545	65.666	102.60	1055.6	-0.35283	164.74	0.11996	0.013522	4.4690	0.22376	22.104	24.037	106.31	57.012	67.878	221.10	31.667	6.7072	0.013049
