Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-10.000	0.21878	1427.6	0.00070046	23.042	23.061	116.76	69.845	110.83	652.11	-0.32332	273.18	0.079288	0.013177	12.925	0.077370	40.066	42.112	189.16	62.132	73.365	136.38	31.354	10.230	0.0082967
-9.0000	0.22670	1424.5	0.00070199	23.153	23.172	117.18	69.932	111.03	648.08	-0.31910	270.21	0.078923	0.013040	13.365	0.074821	40.117	42.168	189.09	62.312	73.633	136.43	31.091	10.268	0.0083473
-8.0000	0.23483	1421.4	0.00070353	23.264	23.284	117.60	70.019	111.23	644.05	-0.31481	267.28	0.078558	0.012904	13.817	0.072374	40.168	42.223	189.02	62.493	73.902	136.48	30.833	10.306	0.0083981
-7.0000	0.24318	1418.3	0.00070508	23.374	23.395	118.01	70.106	111.44	640.03	-0.31044	264.39	0.078193	0.012768	14.281	0.070025	40.219	42.278	188.96	62.674	74.175	136.52	30.581	10.344	0.0084490
-6.0000	0.25176	1415.1	0.00070664	23.485	23.507	118.43	70.193	111.65	636.01	-0.30600	261.54	0.077830	0.012632	14.756	0.067769	40.270	42.333	188.90	62.855	74.449	136.56	30.333	10.382	0.0085001
-5.0000	0.26057	1412.0	0.00070822	23.597	23.619	118.85	70.280	111.86	631.99	-0.30148	258.73	0.077467	0.012496	15.244	0.065601	40.321	42.388	188.84	63.036	74.727	136.59	30.090	10.420	0.0085513
-4.0000	0.26960	1408.8	0.00070981	23.708	23.731	119.26	70.368	112.07	627.97	-0.29689	255.96	0.077104	0.012361	15.744	0.063517	40.372	42.442	188.78	63.218	75.007	136.62	29.852	10.458	0.0086027
-3.0000	0.27887	1405.7	0.00071141	23.820	23.844	119.68	70.456	112.29	623.95	-0.29221	253.22	0.076742	0.012226	16.257	0.061514	40.422	42.497	188.72	63.400	75.290	136.65	29.618	10.496	0.0086542
-2.0000	0.28839	1402.5	0.00071303	23.932	23.957	120.09	70.543	112.50	619.94	-0.28745	250.52	0.076381	0.012091	16.782	0.059587	40.473	42.551	188.66	63.582	75.576	136.67	29.390	10.534	0.0087059
-1.0000	0.29814	1399.3	0.00071466	24.044	24.069	120.50	70.631	112.72	615.93	-0.28261	247.86	0.076021	0.011957	17.321	0.057734	40.524	42.605	188.61	63.765	75.864	136.68	29.165	10.573	0.0087577
0.0000	0.30815	1396.1	0.00071630	24.156	24.183	120.91	70.720	112.95	611.91	-0.27768	245.22	0.075661	0.011823	17.873	0.055951	40.574	42.659	188.55	63.948	76.156	136.69	28.945	10.611	0.0088097
