Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
9.3400	0.60091	625.71	0.0015982	6.6099	6.6262	27.909	47.851	79.430	1450.2	-0.12233	149.07	0.50370	0.024135	4.7606	0.21006	25.385	27.535	101.92	34.194	48.484	402.83	32.405	9.3584	0.025018
10.340	0.62204	624.30	0.0016018	6.6890	6.7059	28.188	47.814	79.539	1443.1	-0.12022	147.52	0.50162	0.023901	4.9206	0.20323	25.398	27.551	101.72	34.338	48.778	403.01	31.925	9.3896	0.025178
11.340	0.64374	622.89	0.0016054	6.7681	6.7857	28.467	47.778	79.650	1436.0	-0.11806	146.00	0.49953	0.023669	5.0849	0.19666	25.410	27.566	101.51	34.484	49.077	403.17	31.456	9.4209	0.025340
12.340	0.66602	621.47	0.0016091	6.8474	6.8656	28.746	47.743	79.763	1428.9	-0.11587	144.50	0.49742	0.023436	5.2535	0.19035	25.422	27.581	101.31	34.630	49.380	403.33	30.997	9.4522	0.025505
13.340	0.68889	620.04	0.0016128	6.9268	6.9457	29.023	47.708	79.878	1421.7	-0.11364	143.02	0.49531	0.023204	5.4264	0.18428	25.433	27.595	101.10	34.778	49.687	403.48	30.548	9.4836	0.025671
14.340	0.71236	618.61	0.0016165	7.0062	7.0258	29.300	47.674	79.995	1414.5	-0.11136	141.57	0.49319	0.022971	5.6039	0.17845	25.445	27.610	100.90	34.925	49.999	403.62	30.109	9.5150	0.025839
15.340	0.73644	617.17	0.0016203	7.0858	7.1061	29.577	47.640	80.115	1407.4	-0.10904	140.13	0.49106	0.022739	5.7860	0.17283	25.456	27.624	100.70	35.074	50.315	403.75	29.678	9.5465	0.026009
16.340	0.76115	615.72	0.0016241	7.1654	7.1865	29.853	47.607	80.238	1400.1	-0.10667	138.72	0.48891	0.022508	5.9728	0.16742	25.467	27.638	100.50	35.223	50.636	403.87	29.257	9.5781	0.026181
17.340	0.78648	614.27	0.0016279	7.2452	7.2670	30.128	47.575	80.362	1392.9	-0.10427	137.33	0.48676	0.022276	6.1644	0.16222	25.478	27.651	100.30	35.373	50.961	403.97	28.845	9.6098	0.026355
18.340	0.81246	612.82	0.0016318	7.3251	7.3476	30.402	47.543	80.490	1385.7	-0.10181	135.96	0.48460	0.022045	6.3608	0.15721	25.489	27.664	100.10	35.523	51.291	404.07	28.441	9.6415	0.026530
19.340	0.83910	611.36	0.0016357	7.4050	7.4284	30.677	47.512	80.619	1378.4	-0.099309	134.60	0.48243	0.021814	6.5622	0.15239	25.499	27.677	99.904	35.675	51.626	404.16	28.046	9.6733	0.026709
20.340	0.86640	609.89	0.0016396	7.4851	7.5093	30.950	47.482	80.752	1371.1	-0.096758	133.27	0.48025	0.021584	6.7687	0.14774	25.509	27.689	99.709	35.827	51.966	404.24	27.659	9.7052	0.026889
21.340	0.89437	608.41	0.0016436	7.5653	7.5903	31.223	47.452	80.887	1363.8	-0.094157	131.95	0.47807	0.021354	6.9804	0.14326	25.519	27.701	99.514	35.980	52.312	404.30	27.279	9.7372	0.027071
22.340	0.92303	606.93	0.0016476	7.6456	7.6715	31.495	47.423	81.025	1356.5	-0.091506	130.65	0.47587	0.021124	7.1973	0.13894	25.529	27.713	99.320	36.133	52.662	404.36	26.908	9.7692	0.027256
23.340	0.95239	605.44	0.0016517	7.7260	7.7528	31.767	47.394	81.166	1349.1	-0.088802	129.37	0.47367	0.020894	7.4197	0.13478	25.538	27.724	99.128	36.287	53.018	404.41	26.544	9.8014	0.027442
24.340	0.98246	603.95	0.0016558	7.8066	7.8343	32.039	47.366	81.310	1341.8	-0.086044	128.11	0.47146	0.020665	7.6475	0.13076	25.548	27.735	98.936	36.442	53.380	404.44	26.187	9.8336	0.027631
25.340	1.0132	602.45	0.0016599	7.8872	7.9159	32.310	47.339	81.457	1334.4	-0.083231	126.86	0.46925	0.020436	7.8809	0.12689	25.557	27.746	98.745	36.598	53.747	404.47	25.837	9.8660	0.027823
26.340	1.0448	600.94	0.0016641	7.9680	7.9976	32.580	47.312	81.607	1327.0	-0.080362	125.63	0.46702	0.020207	8.1201	0.12315	25.565	27.756	98.555	36.754	54.120	404.48	25.494	9.8985	0.028016
27.340	1.0770	599.43	0.0016683	8.0489	8.0795	32.850	47.286	81.760	1319.6	-0.077434	124.41	0.46479	0.019978	8.3650	0.11955	25.574	27.766	98.366	36.912	54.499	404.49	25.158	9.9310	0.028212
28.340	1.1100	597.91	0.0016725	8.1299	8.1615	33.119	47.261	81.917	1312.1	-0.074447	123.21	0.46256	0.019750	8.6160	0.11606	25.582	27.776	98.178	37.070	54.885	404.48	24.829	9.9637	0.028411
29.340	1.1438	596.38	0.0016768	8.2111	8.2437	33.388	47.236	82.077	1304.7	-0.071399	122.02	0.46031	0.019523	8.8730	0.11270	25.590	27.785	97.990	37.228	55.277	404.46	24.506	9.9965	0.028612
