Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
78.000	0.96839	503.45	0.0019863	23.043	23.155	94.814	112.01	164.54	613.98	0.078661	97.934	0.085114	0.0062036	24.014	0.041642	38.013	40.357	143.80	109.48	131.59	192.06	19.980	8.7766	0.023243
79.000	0.98981	501.93	0.0019923	23.205	23.320	95.275	112.26	165.13	608.42	0.089927	96.997	0.084786	0.0061023	24.570	0.040701	38.091	40.432	143.87	109.82	132.29	191.63	19.912	8.8098	0.023402
80.000	1.0116	500.40	0.0019984	23.367	23.485	95.736	112.50	165.72	602.84	0.10149	96.065	0.084459	0.0060014	25.136	0.039783	38.169	40.508	143.94	110.15	133.00	191.19	19.847	8.8433	0.023563
81.000	1.0337	498.86	0.0020046	23.530	23.650	96.197	112.75	166.32	597.25	0.11335	95.138	0.084134	0.0059007	25.715	0.038888	38.246	40.583	144.01	110.49	133.73	190.73	19.784	8.8773	0.023726
82.000	1.0562	497.31	0.0020108	23.693	23.817	96.658	113.00	166.93	591.65	0.12553	94.218	0.083810	0.0058003	26.305	0.038015	38.323	40.657	144.08	110.82	134.46	190.27	19.723	8.9116	0.023892
83.000	1.0790	495.75	0.0020171	23.857	23.983	97.119	113.25	167.55	586.04	0.13804	93.302	0.083488	0.0057003	26.908	0.037164	38.401	40.731	144.14	111.16	135.21	189.79	19.666	8.9464	0.024059
84.000	1.1022	494.18	0.0020236	24.021	24.151	97.581	113.50	168.19	580.41	0.15090	92.392	0.083168	0.0056005	27.523	0.036333	38.477	40.805	144.21	111.50	135.98	189.31	19.610	8.9816	0.024228
85.000	1.1258	492.59	0.0020301	24.186	24.319	98.042	113.75	168.83	574.78	0.16411	91.487	0.082848	0.0055011	28.151	0.035523	38.554	40.879	144.28	111.83	136.76	188.81	19.558	9.0172	0.024399
86.000	1.1497	490.99	0.0020367	24.351	24.487	98.504	114.01	169.49	569.12	0.17770	90.587	0.082530	0.0054019	28.792	0.034732	38.631	40.952	144.35	112.17	137.56	188.30	19.508	9.0534	0.024573
87.000	1.1741	489.38	0.0020434	24.517	24.656	98.966	114.26	170.16	563.46	0.19168	89.692	0.082214	0.0053031	29.446	0.033960	38.707	41.024	144.41	112.51	138.37	187.78	19.461	9.0900	0.024749
88.000	1.1987	487.76	0.0020502	24.683	24.826	99.429	114.52	170.84	557.77	0.20607	88.802	0.081899	0.0052046	30.115	0.033207	38.783	41.096	144.48	112.85	139.20	187.24	19.416	9.1272	0.024927
89.000	1.2238	486.12	0.0020571	24.850	24.996	99.891	114.78	171.54	552.08	0.22089	87.916	0.081586	0.0051064	30.797	0.032471	38.858	41.168	144.55	113.19	140.05	186.69	19.374	9.1649	0.025107
90.000	1.2493	484.47	0.0020641	25.017	25.167	100.35	115.03	172.25	546.36	0.23615	87.036	0.081273	0.0050085	31.494	0.031752	38.934	41.239	144.61	113.53	140.93	186.14	19.334	9.2031	0.025290
91.000	1.2751	482.81	0.0020712	25.185	25.338	100.82	115.30	172.97	540.63	0.25189	86.159	0.080963	0.0049110	32.205	0.031051	39.009	41.310	144.68	113.87	141.82	185.56	19.297	9.2419	0.025476
92.000	1.3013	481.13	0.0020785	25.353	25.511	101.28	115.56	173.71	534.89	0.26811	85.287	0.080653	0.0048137	32.932	0.030365	39.084	41.380	144.74	114.22	142.73	184.98	19.263	9.2814	0.025664
93.000	1.3280	479.43	0.0020858	25.522	25.683	101.74	115.82	174.47	529.12	0.28485	84.419	0.080345	0.0047169	33.675	0.029696	39.158	41.450	144.81	114.56	143.67	184.38	19.231	9.3214	0.025855
94.000	1.3550	477.72	0.0020933	25.692	25.857	102.21	116.09	175.24	523.34	0.30213	83.555	0.080039	0.0046204	34.434	0.029041	39.232	41.520	144.87	114.91	144.64	183.77	19.202	9.3621	0.026049
95.000	1.3825	476.00	0.0021008	25.862	26.031	102.67	116.35	176.04	517.54	0.31998	82.695	0.079733	0.0045242	35.209	0.028402	39.306	41.588	144.93	115.26	145.63	183.15	19.175	9.4035	0.026245
96.000	1.4103	474.26	0.0021086	26.033	26.206	103.14	116.62	176.85	511.72	0.33842	81.839	0.079429	0.0044284	36.002	0.027777	39.380	41.656	144.99	115.61	146.65	182.51	19.151	9.4456	0.026445
97.000	1.4386	472.50	0.0021164	26.204	26.381	103.60	116.89	177.68	505.88	0.35749	80.987	0.079126	0.0043329	36.812	0.027165	39.453	41.724	145.05	115.97	147.70	181.86	19.130	9.4884	0.026648
98.000	1.4672	470.72	0.0021244	26.376	26.558	104.07	117.16	178.53	500.02	0.37722	80.138	0.078825	0.0042378	37.640	0.026568	39.525	41.791	145.11	116.33	148.78	181.19	19.111	9.5320	0.026854
99.000	1.4963	468.93	0.0021325	26.549	26.735	104.54	117.44	179.40	494.13	0.39765	79.293	0.078525	0.0041430	38.486	0.025983	39.597	41.857	145.17	116.69	149.89	180.51	19.095	9.5764	0.027063
100.00	1.5259	467.12	0.0021408	26.722	26.912	105.00	117.71	180.30	488.23	0.41881	78.451	0.078226	0.0040487	39.352	0.025412	39.669	41.923	145.23	117.05	151.05	179.82	19.081	9.6217	0.027276
