Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
-31.000	0.080444	1391.4	0.00071872	16.270	16.276	86.053	85.976	129.68	764.94	-0.27309	406.92	0.10624	0.015927	4.2316	0.23632	36.801	38.740	178.82	68.923	79.335	145.04	49.475	9.5996	0.0089085
-30.000	0.084378	1388.4	0.00072025	16.400	16.406	86.587	86.090	129.87	760.26	-0.27056	400.95	0.10576	0.015778	4.4259	0.22594	36.859	38.805	178.71	69.188	79.673	145.18	48.737	9.6361	0.0089906
-29.000	0.088463	1385.4	0.00072180	16.530	16.536	87.120	86.204	130.07	755.60	-0.26798	395.11	0.10529	0.015629	4.6271	0.21612	36.918	38.869	178.59	69.454	80.015	145.31	48.016	9.6726	0.0090727
-28.000	0.092703	1382.4	0.00072336	16.660	16.666	87.651	86.318	130.27	750.94	-0.26537	389.39	0.10482	0.015480	4.8356	0.20680	36.977	38.933	178.48	69.721	80.359	145.43	47.313	9.7090	0.0091549
-27.000	0.097103	1379.5	0.00072492	16.790	16.797	88.181	86.433	130.47	746.28	-0.26271	383.79	0.10434	0.015331	5.0514	0.19796	37.035	38.997	178.37	69.989	80.707	145.56	46.628	9.7454	0.0092372
-26.000	0.10167	1376.5	0.00072650	16.920	16.928	88.710	86.548	130.67	741.63	-0.26001	378.30	0.10387	0.015182	5.2748	0.18958	37.094	39.060	178.26	70.258	81.058	145.67	45.959	9.7818	0.0093196
-25.000	0.10640	1373.4	0.00072809	17.051	17.059	89.237	86.664	130.88	736.98	-0.25726	372.92	0.10340	0.015034	5.5059	0.18162	37.152	39.124	178.16	70.529	81.413	145.79	45.305	9.8181	0.0094022
-24.000	0.11130	1370.4	0.00072970	17.181	17.190	89.763	86.780	131.08	732.33	-0.25446	367.65	0.10293	0.014886	5.7450	0.17407	37.211	39.188	178.06	70.800	81.771	145.90	44.668	9.8545	0.0094848
-23.000	0.11639	1367.4	0.00073131	17.312	17.321	90.288	86.896	131.29	727.69	-0.25161	362.49	0.10246	0.014739	5.9922	0.16688	37.269	39.251	177.96	71.072	82.132	146.00	44.045	9.8907	0.0095675
-22.000	0.12165	1364.4	0.00073294	17.444	17.453	90.811	87.013	131.50	723.05	-0.24872	357.42	0.10200	0.014592	6.2477	0.16006	37.328	39.315	177.86	71.346	82.497	146.10	43.436	9.9270	0.0096504
-21.000	0.12710	1361.3	0.00073458	17.575	17.584	91.333	87.131	131.72	718.42	-0.24577	352.46	0.10153	0.014445	6.5117	0.15357	37.386	39.378	177.76	71.620	82.865	146.19	42.842	9.9633	0.0097333
