Temperature (C)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
90.000	1.6420	451.05	0.0022170	25.045	25.256	100.45	114.73	180.76	444.17	0.58098	76.556	0.069113	0.0032651	44.927	0.022258	36.693	38.817	137.79	114.01	152.56	172.56	19.420	9.9451	0.026701
91.000	1.6742	449.04	0.0022270	25.218	25.434	100.93	115.04	181.91	437.95	0.61091	75.669	0.068852	0.0031728	45.973	0.021752	36.758	38.874	137.84	114.43	154.09	171.76	19.427	10.008	0.026945
92.000	1.7070	447.00	0.0022371	25.391	25.613	101.41	115.34	183.10	431.71	0.64213	74.784	0.068593	0.0030811	47.046	0.021256	36.822	38.931	137.88	114.86	155.69	170.95	19.438	10.072	0.027194
93.000	1.7402	444.94	0.0022475	25.565	25.793	101.89	115.65	184.34	425.44	0.67475	73.902	0.068335	0.0029898	48.145	0.020770	36.885	38.986	137.92	115.29	157.36	170.13	19.451	10.138	0.027450
94.000	1.7739	442.85	0.0022581	25.741	25.973	102.37	115.96	185.63	419.14	0.70885	73.023	0.068079	0.0028991	49.273	0.020295	36.948	39.041	137.96	115.73	159.11	169.28	19.467	10.205	0.027712
95.000	1.8081	440.73	0.0022690	25.917	26.155	102.85	116.27	186.96	412.81	0.74454	72.145	0.067824	0.0028089	50.430	0.019829	37.010	39.094	138.00	116.18	160.94	168.42	19.485	10.275	0.027981
96.000	1.8428	438.58	0.0022801	26.093	26.338	103.33	116.59	188.36	406.45	0.78192	71.269	0.067570	0.0027193	51.617	0.019373	37.071	39.146	138.03	116.64	162.85	167.54	19.506	10.346	0.028258
97.000	1.8780	436.39	0.0022915	26.271	26.521	103.82	116.91	189.80	400.05	0.82112	70.395	0.067318	0.0026303	52.836	0.018926	37.132	39.198	138.06	117.10	164.86	166.64	19.530	10.420	0.028541
98.000	1.9137	434.18	0.0023032	26.450	26.706	104.30	117.23	191.32	393.63	0.86227	69.521	0.067068	0.0025418	54.089	0.018488	37.192	39.248	138.10	117.57	166.96	165.72	19.557	10.495	0.028833
99.000	1.9498	431.93	0.0023152	26.630	26.892	104.79	117.55	192.90	387.17	0.90553	68.649	0.066819	0.0024540	55.375	0.018059	37.251	39.297	138.12	118.05	169.18	164.78	19.586	10.573	0.029133
100.00	1.9865	429.64	0.0023275	26.811	27.079	105.28	117.88	194.55	380.67	0.95105	67.777	0.066572	0.0023667	56.697	0.017638	37.309	39.345	138.15	118.54	171.52	163.83	19.618	10.653	0.029442
